ID	Nome	Idade	Cidade
1	Nome0	29	Cidade60
2	Nome1	22	Cidade4
3	Nome2	57	Cidade36
4	Nome3	27	Cidade29
5	Nome4	59	Cidade86
6	Nome5	30	Cidade39
7	Nome6	35	Cidade79
8	Nome7	32	Cidade85
9	Nome8	38	Cidade5
10	Nome9	51	Cidade39
11	Nome10	26	Cidade34
12	Nome11	27	Cidade87
13	Nome12	64	Cidade82
14	Nome13	54	Cidade45
15	Nome14	46	Cidade72
16	Nome15	57	Cidade56
17	Nome16	42	Cidade64
18	Nome17	45	Cidade7
19	Nome18	42	Cidade95
20	Nome19	58	Cidade46
21	Nome20	24	Cidade14
22	Nome21	35	Cidade77
23	Nome22	54	Cidade74
24	Nome23	43	Cidade9
25	Nome24	36	Cidade39
26	Nome25	44	Cidade17
27	Nome26	45	Cidade68
28	Nome27	63	Cidade80
29	Nome28	59	Cidade62
30	Nome29	41	Cidade97
31	Nome30	36	Cidade17
32	Nome31	59	Cidade9
33	Nome32	61	Cidade98
34	Nome33	56	Cidade2
35	Nome34	23	Cidade42
36	Nome35	48	Cidade94
37	Nome36	28	Cidade36
38	Nome37	34	Cidade89
39	Nome38	49	Cidade67
40	Nome39	29	Cidade69
41	Nome40	65	Cidade1
42	Nome41	63	Cidade14
43	Nome42	30	Cidade91
44	Nome43	48	Cidade26
45	Nome44	24	Cidade97
46	Nome45	18	Cidade40
47	Nome46	31	Cidade9
48	Nome47	38	Cidade48
49	Nome48	21	Cidade55
50	Nome49	50	Cidade18
51	Nome50	34	Cidade46
52	Nome51	18	Cidade29
53	Nome52	51	Cidade20
54	Nome53	42	Cidade12
55	Nome54	47	Cidade71
56	Nome55	69	Cidade30
57	Nome56	42	Cidade26
58	Nome57	25	Cidade32
59	Nome58	56	Cidade74
60	Nome59	35	Cidade12
61	Nome60	54	Cidade65
62	Nome61	26	Cidade34
63	Nome62	48	Cidade26
64	Nome63	26	Cidade20
65	Nome64	58	Cidade37
66	Nome65	60	Cidade66
67	Nome66	64	Cidade15
68	Nome67	23	Cidade82
69	Nome68	29	Cidade65
70	Nome69	62	Cidade98
71	Nome70	25	Cidade78
72	Nome71	40	Cidade46
73	Nome72	29	Cidade23
74	Nome73	69	Cidade84
75	Nome74	20	Cidade54
76	Nome75	62	Cidade51
77	Nome76	33	Cidade61
78	Nome77	48	Cidade86
79	Nome78	34	Cidade88
80	Nome79	18	Cidade20
81	Nome80	38	Cidade5
82	Nome81	52	Cidade62
83	Nome82	50	Cidade61
84	Nome83	56	Cidade12
85	Nome84	47	Cidade19
86	Nome85	65	Cidade40
87	Nome86	23	Cidade44
88	Nome87	63	Cidade38
89	Nome88	29	Cidade16
90	Nome89	29	Cidade8
91	Nome90	43	Cidade50
92	Nome91	67	Cidade50
93	Nome92	49	Cidade90
94	Nome93	66	Cidade68
95	Nome94	25	Cidade18
96	Nome95	21	Cidade39
97	Nome96	28	Cidade41
98	Nome97	67	Cidade73
99	Nome98	65	Cidade13
100	Nome99	37	Cidade12
101	Nome100	28	Cidade32
102	Nome101	59	Cidade75
103	Nome102	67	Cidade8
104	Nome103	26	Cidade63
105	Nome104	26	Cidade68
106	Nome105	43	Cidade43
107	Nome106	57	Cidade36
108	Nome107	53	Cidade16
