ID|Nome|Idade|Cidade
1|Nome0|26|Cidade96
2|Nome1|63|Cidade76
3|Nome2|29|Cidade94
4|Nome3|44|Cidade79
5|Nome4|69|Cidade59
6|Nome5|54|Cidade98
7|Nome6|44|Cidade73
8|Nome7|48|Cidade18
9|Nome8|52|Cidade25
10|Nome9|54|Cidade29
11|Nome10|66|Cidade84
12|Nome11|37|Cidade57
13|Nome12|39|Cidade73
14|Nome13|34|Cidade27
15|Nome14|44|Cidade57
16|Nome15|55|Cidade73
17|Nome16|22|Cidade51
18|Nome17|33|Cidade86
19|Nome18|32|Cidade6
20|Nome19|39|Cidade72
21|Nome20|47|Cidade12
22|Nome21|54|Cidade90
23|Nome22|48|Cidade92
24|Nome23|58|Cidade6
25|Nome24|34|Cidade98
26|Nome25|53|Cidade65
27|Nome26|64|Cidade62
28|Nome27|32|Cidade91
29|Nome28|41|Cidade79
30|Nome29|58|Cidade84
31|Nome30|19|Cidade77
32|Nome31|24|Cidade85
33|Nome32|29|Cidade2
34|Nome33|36|Cidade48
35|Nome34|34|Cidade16
36|Nome35|38|Cidade77
37|Nome36|39|Cidade14
38|Nome37|68|Cidade20
39|Nome38|41|Cidade19
40|Nome39|51|Cidade48
41|Nome40|63|Cidade71
42|Nome41|56|Cidade41
43|Nome42|19|Cidade42
44|Nome43|35|Cidade3
45|Nome44|30|Cidade45
46|Nome45|38|Cidade50
47|Nome46|39|Cidade5
48|Nome47|29|Cidade42
49|Nome48|41|Cidade57
50|Nome49|59|Cidade44
51|Nome50|19|Cidade18
52|Nome51|25|Cidade64
53|Nome52|25|Cidade64
54|Nome53|63|Cidade84
55|Nome54|58|Cidade27
56|Nome55|42|Cidade86
57|Nome56|25|Cidade6
58|Nome57|43|Cidade28
59|Nome58|18|Cidade78
60|Nome59|43|Cidade11
61|Nome60|60|Cidade5
62|Nome61|38|Cidade19
63|Nome62|62|Cidade68
64|Nome63|47|Cidade61
65|Nome64|69|Cidade50
