ID;Nome;Idade;Cidade
1;Nome0;42;Cidade24
2;Nome1;45;Cidade72
3;Nome2;44;Cidade37
4;Nome3;37;Cidade87
5;Nome4;55;Cidade18
6;Nome5;27;Cidade93
7;Nome6;41;Cidade69
8;Nome7;67;Cidade24
9;Nome8;31;Cidade11
10;Nome9;21;Cidade84
11;Nome10;63;Cidade61
12;Nome11;28;Cidade31
13;Nome12;32;Cidade90
14;Nome13;21;Cidade53
15;Nome14;67;Cidade2
16;Nome15;62;Cidade38
17;Nome16;51;Cidade18
18;Nome17;37;Cidade89
19;Nome18;23;Cidade90
20;Nome19;47;Cidade67
21;Nome20;27;Cidade25
22;Nome21;45;Cidade79
23;Nome22;27;Cidade40
24;Nome23;66;Cidade38
25;Nome24;43;Cidade81
26;Nome25;20;Cidade60
27;Nome26;39;Cidade90
28;Nome27;40;Cidade5
29;Nome28;65;Cidade85
30;Nome29;19;Cidade78
31;Nome30;66;Cidade84
32;Nome31;65;Cidade89
33;Nome32;45;Cidade29
34;Nome33;31;Cidade75
35;Nome34;18;Cidade74
36;Nome35;24;Cidade45
37;Nome36;27;Cidade57
38;Nome37;21;Cidade16
39;Nome38;66;Cidade41
40;Nome39;25;Cidade66
41;Nome40;66;Cidade45
42;Nome41;39;Cidade71
43;Nome42;31;Cidade52
44;Nome43;29;Cidade70
45;Nome44;31;Cidade21
46;Nome45;49;Cidade93
47;Nome46;45;Cidade92
48;Nome47;34;Cidade23
49;Nome48;25;Cidade94
50;Nome49;25;Cidade65
51;Nome50;33;Cidade15
52;Nome51;44;Cidade5
53;Nome52;63;Cidade82
54;Nome53;18;Cidade78
55;Nome54;66;Cidade23
56;Nome55;53;Cidade51
57;Nome56;27;Cidade85
58;Nome57;59;Cidade63
59;Nome58;66;Cidade72
60;Nome59;31;Cidade76
61;Nome60;68;Cidade28
62;Nome61;59;Cidade46
63;Nome62;56;Cidade87
64;Nome63;68;Cidade11
65;Nome64;61;Cidade18
66;Nome65;20;Cidade93
67;Nome66;28;Cidade34
68;Nome67;43;Cidade4
69;Nome68;63;Cidade23
70;Nome69;56;Cidade63
71;Nome70;53;Cidade6
72;Nome71;63;Cidade24
73;Nome72;27;Cidade67
74;Nome73;24;Cidade70
75;Nome74;42;Cidade75
76;Nome75;57;Cidade96
77;Nome76;19;Cidade19
78;Nome77;67;Cidade45
79;Nome78;19;Cidade88
80;Nome79;46;Cidade27
81;Nome80;46;Cidade12
82;Nome81;43;Cidade63
83;Nome82;45;Cidade63
84;Nome83;67;Cidade56
85;Nome84;34;Cidade13
86;Nome85;27;Cidade63
87;Nome86;50;Cidade24
88;Nome87;23;Cidade41
89;Nome88;66;Cidade26
90;Nome89;51;Cidade47
91;Nome90;27;Cidade93
92;Nome91;57;Cidade22
93;Nome92;55;Cidade97
94;Nome93;21;Cidade3
95;Nome94;36;Cidade20
96;Nome95;46;Cidade13
97;Nome96;28;Cidade78
98;Nome97;61;Cidade16
99;Nome98;33;Cidade38
100;Nome99;61;Cidade96
101;Nome100;43;Cidade91
102;Nome101;65;Cidade27
103;Nome102;22;Cidade8
104;Nome103;23;Cidade88
105;Nome104;57;Cidade83
106;Nome105;31;Cidade40
107;Nome106;63;Cidade17
108;Nome107;26;Cidade15
109;Nome108;52;Cidade54
110;Nome109;66;Cidade66
111;Nome110;56;Cidade6
112;Nome111;23;Cidade52
113;Nome112;40;Cidade42
114;Nome113;35;Cidade99
115;Nome114;24;Cidade12
116;Nome115;35;Cidade90
117;Nome116;53;Cidade70
118;Nome117;37;Cidade48
119;Nome118;34;Cidade64
120;Nome119;66;Cidade91
121;Nome120;44;Cidade45
122;Nome121;57;Cidade90
123;Nome122;68;Cidade53
124;Nome123;39;Cidade70
125;Nome124;37;Cidade45
126;Nome125;43;Cidade27
127;Nome126;40;Cidade92
128;Nome127;67;Cidade58
129;Nome128;35;Cidade37
130;Nome129;27;Cidade80
131;Nome130;19;Cidade17
132;Nome131;39;Cidade65
133;Nome132;54;Cidade96
134;Nome133;31;Cidade40
135;Nome134;50;Cidade22
136;Nome135;32;Cidade38
137;Nome136;39;Cidade71
138;Nome137;18;Cidade52
139;Nome138;18;Cidade53
140;Nome139;39;Cidade40
141;Nome140;41;Cidade49
142;Nome141;43;Cidade41
143;Nome142;57;Cidade19
144;Nome143;61;Cidade85
145;Nome144;58;Cidade63
146;Nome145;52;Cidade20
147;Nome146;52;Cidade20
148;Nome147;28;Cidade15
149;Nome148;68;Cidade51
150;Nome149;54;Cidade28
151;Nome150;56;Cidade67
152;Nome151;64;Cidade72
153;Nome152;63;Cidade33
154;Nome153;35;Cidade19
155;Nome154;55;Cidade15
156;Nome155;43;Cidade24
157;Nome156;28;Cidade19
158;Nome157;24;Cidade54
159;Nome158;59;Cidade43
160;Nome159;23;Cidade14
161;Nome160;41;Cidade83
162;Nome161;59;Cidade3
163;Nome162;65;Cidade76
164;Nome163;65;Cidade85
165;Nome164;42;Cidade30
166;Nome165;19;Cidade44
167;Nome166;49;Cidade16
168;Nome167;23;Cidade28
169;Nome168;69;Cidade79
170;Nome169;67;Cidade7
171;Nome170;44;Cidade10
172;Nome171;68;Cidade90
173;Nome172;66;Cidade33
174;Nome173;31;Cidade31
175;Nome174;50;Cidade54
176;Nome175;34;Cidade43
177;Nome176;65;Cidade33
178;Nome177;39;Cidade83
179;Nome178;27;Cidade4
180;Nome179;68;Cidade77
181;Nome180;64;Cidade92
182;Nome181;37;Cidade47
183;Nome182;47;Cidade91
184;Nome183;31;Cidade29
185;Nome184;22;Cidade40
186;Nome185;19;Cidade54
187;Nome186;44;Cidade76
188;Nome187;45;Cidade10
189;Nome188;47;Cidade54
190;Nome189;63;Cidade13
191;Nome190;42;Cidade6
192;Nome191;60;Cidade35
193;Nome192;40;Cidade9
194;Nome193;52;Cidade99
195;Nome194;63;Cidade63
196;Nome195;34;Cidade4
197;Nome196;51;Cidade78
198;Nome197;67;Cidade1
199;Nome198;31;Cidade7
200;Nome199;25;Cidade28
201;Nome200;18;Cidade48
202;Nome201;68;Cidade10
203;Nome202;57;Cidade3
204;Nome203;50;Cidade81
205;Nome204;22;Cidade32
206;Nome205;43;Cidade71
207;Nome206;42;Cidade72
208;Nome207;45;Cidade54
209;Nome208;49;Cidade8
210;Nome209;61;Cidade43
211;Nome210;51;Cidade17
212;Nome211;49;Cidade15
213;Nome212;28;Cidade55
214;Nome213;57;Cidade66
215;Nome214;63;Cidade72
216;Nome215;69;Cidade72
217;Nome216;39;Cidade21
218;Nome217;34;Cidade95
219;Nome218;22;Cidade8
220;Nome219;46;Cidade21
221;Nome220;49;Cidade31
222;Nome221;59;Cidade53
223;Nome222;35;Cidade30
224;Nome223;56;Cidade16
225;Nome224;54;Cidade50
226;Nome225;53;Cidade43
227;Nome226;59;Cidade4
228;Nome227;38;Cidade88
229;Nome228;59;Cidade40
230;Nome229;56;Cidade23
231;Nome230;24;Cidade65
232;Nome231;19;Cidade16
233;Nome232;25;Cidade97
234;Nome233;23;Cidade85
235;Nome234;44;Cidade23
236;Nome235;54;Cidade47
237;Nome236;64;Cidade33
238;Nome237;34;Cidade73
239;Nome238;45;Cidade67
240;Nome239;58;Cidade59
241;Nome240;34;Cidade69
242;Nome241;67;Cidade94
243;Nome242;24;Cidade73
244;Nome243;37;Cidade46
245;Nome244;28;Cidade23
246;Nome245;18;Cidade22
247;Nome246;46;Cidade70
248;Nome247;23;Cidade89
249;Nome248;50;Cidade30
250;Nome249;65;Cidade91
251;Nome250;32;Cidade52
252;Nome251;24;Cidade63
253;Nome252;29;Cidade32
254;Nome253;27;Cidade56
255;Nome254;26;Cidade55
256;Nome255;68;Cidade57
257;Nome256;38;Cidade70
258;Nome257;21;Cidade16
259;Nome258;27;Cidade31
260;Nome259;69;Cidade17
261;Nome260;29;Cidade99
262;Nome261;41;Cidade47
263;Nome262;20;Cidade5
264;Nome263;27;Cidade53
265;Nome264;59;Cidade5
266;Nome265;52;Cidade74
267;Nome266;61;Cidade67
268;Nome267;32;Cidade6
269;Nome268;46;Cidade6
270;Nome269;18;Cidade25
271;Nome270;29;Cidade13
272;Nome271;54;Cidade64
273;Nome272;21;Cidade90
274;Nome273;49;Cidade3
275;Nome274;29;Cidade98
276;Nome275;50;Cidade76
277;Nome276;20;Cidade66
278;Nome277;45;Cidade87
279;Nome278;30;Cidade21
280;Nome279;29;Cidade54
281;Nome280;50;Cidade86
282;Nome281;55;Cidade9
283;Nome282;62;Cidade67
284;Nome283;55;Cidade95
285;Nome284;52;Cidade16
286;Nome285;20;Cidade94
287;Nome286;35;Cidade65
288;Nome287;34;Cidade32
289;Nome288;67;Cidade13
290;Nome289;50;Cidade62
291;Nome290;45;Cidade74
292;Nome291;44;Cidade10
293;Nome292;25;Cidade18
294;Nome293;68;Cidade35
295;Nome294;25;Cidade87
296;Nome295;68;Cidade78
297;Nome296;18;Cidade64
298;Nome297;60;Cidade97
299;Nome298;37;Cidade39
300;Nome299;27;Cidade79
301;Nome300;69;Cidade20
302;Nome301;59;Cidade55
303;Nome302;69;Cidade39
304;Nome303;37;Cidade61
305;Nome304;58;Cidade86
306;Nome305;28;Cidade59
307;Nome306;28;Cidade49
308;Nome307;32;Cidade24
309;Nome308;57;Cidade67
310;Nome309;19;Cidade13
311;Nome310;61;Cidade48
312;Nome311;24;Cidade77
313;Nome312;61;Cidade88
314;Nome313;66;Cidade60
315;Nome314;58;Cidade58
316;Nome315;51;Cidade24
317;Nome316;66;Cidade2
318;Nome317;30;Cidade60
319;Nome318;21;Cidade82
320;Nome319;30;Cidade31
321;Nome320;49;Cidade79
322;Nome321;45;Cidade7
323;Nome322;30;Cidade8
324;Nome323;39;Cidade37
325;Nome324;34;Cidade71
326;Nome325;38;Cidade37
327;Nome326;34;Cidade49
328;Nome327;62;Cidade53
329;Nome328;28;Cidade55
330;Nome329;53;Cidade25
331;Nome330;30;Cidade31
332;Nome331;43;Cidade32
333;Nome332;32;Cidade95
334;Nome333;66;Cidade45
335;Nome334;38;Cidade66
336;Nome335;39;Cidade62
337;Nome336;54;Cidade59
338;Nome337;52;Cidade22
339;Nome338;65;Cidade85
340;Nome339;55;Cidade65
341;Nome340;54;Cidade30
342;Nome341;45;Cidade13
343;Nome342;64;Cidade35
344;Nome343;50;Cidade18
345;Nome344;68;Cidade93
346;Nome345;55;Cidade1
347;Nome346;58;Cidade54
348;Nome347;24;Cidade48
349;Nome348;65;Cidade55
350;Nome349;40;Cidade65
351;Nome350;27;Cidade64
352;Nome351;25;Cidade62
353;Nome352;36;Cidade99
354;Nome353;56;Cidade42
355;Nome354;35;Cidade28
356;Nome355;60;Cidade60
357;Nome356;24;Cidade86
358;Nome357;49;Cidade94
359;Nome358;43;Cidade11
360;Nome359;55;Cidade44
361;Nome360;39;Cidade25
362;Nome361;23;Cidade42
363;Nome362;55;Cidade12
364;Nome363;32;Cidade65
365;Nome364;25;Cidade97
366;Nome365;47;Cidade6
367;Nome366;62;Cidade89
368;Nome367;18;Cidade52
369;Nome368;68;Cidade49
370;Nome369;27;Cidade84
371;Nome370;40;Cidade95
372;Nome371;53;Cidade35
373;Nome372;32;Cidade18
374;Nome373;29;Cidade39
375;Nome374;53;Cidade35
376;Nome375;30;Cidade68
377;Nome376;40;Cidade29
378;Nome377;64;Cidade93
379;Nome378;60;Cidade19
380;Nome379;65;Cidade75
381;Nome380;69;Cidade47
382;Nome381;36;Cidade32
383;Nome382;69;Cidade51
384;Nome383;42;Cidade93
385;Nome384;53;Cidade1
386;Nome385;43;Cidade51
387;Nome386;53;Cidade90
388;Nome387;24;Cidade2
389;Nome388;52;Cidade52
390;Nome389;68;Cidade24
391;Nome390;68;Cidade73
392;Nome391;62;Cidade81
393;Nome392;54;Cidade89
394;Nome393;35;Cidade5
395;Nome394;22;Cidade67
396;Nome395;20;Cidade87
397;Nome396;42;Cidade12
398;Nome397;34;Cidade35
399;Nome398;54;Cidade92
400;Nome399;29;Cidade34
401;Nome400;44;Cidade43
402;Nome401;69;Cidade54
403;Nome402;38;Cidade38
404;Nome403;63;Cidade96
405;Nome404;67;Cidade52
406;Nome405;42;Cidade33
407;Nome406;18;Cidade53
408;Nome407;65;Cidade65
409;Nome408;53;Cidade25
410;Nome409;56;Cidade46
411;Nome410;67;Cidade48
412;Nome411;57;Cidade91
413;Nome412;65;Cidade10
414;Nome413;67;Cidade53
415;Nome414;53;Cidade94
416;Nome415;53;Cidade81
417;Nome416;51;Cidade69
418;Nome417;65;Cidade40
419;Nome418;34;Cidade80
420;Nome419;32;Cidade24
421;Nome420;47;Cidade17
422;Nome421;44;Cidade11
423;Nome422;61;Cidade48
424;Nome423;34;Cidade6
425;Nome424;26;Cidade27
426;Nome425;27;Cidade97
427;Nome426;48;Cidade79
428;Nome427;61;Cidade2
429;Nome428;26;Cidade60
430;Nome429;40;Cidade57
431;Nome430;66;Cidade47
432;Nome431;22;Cidade47
433;Nome432;53;Cidade75
434;Nome433;18;Cidade66
435;Nome434;51;Cidade62
436;Nome435;42;Cidade69
437;Nome436;58;Cidade34
438;Nome437;28;Cidade1
439;Nome438;20;Cidade55
440;Nome439;36;Cidade17
441;Nome440;30;Cidade79
442;Nome441;63;Cidade78
443;Nome442;53;Cidade7
444;Nome443;53;Cidade90
445;Nome444;28;Cidade30
446;Nome445;22;Cidade46
447;Nome446;67;Cidade38
448;Nome447;42;Cidade91
449;Nome448;35;Cidade4
450;Nome449;18;Cidade53
451;Nome450;20;Cidade72
452;Nome451;64;Cidade13
453;Nome452;36;Cidade72
454;Nome453;56;Cidade84
455;Nome454;33;Cidade25
456;Nome455;57;Cidade31
457;Nome456;41;Cidade34
458;Nome457;39;Cidade59
459;Nome458;49;Cidade56
460;Nome459;58;Cidade14
461;Nome460;38;Cidade78
462;Nome461;30;Cidade48
463;Nome462;50;Cidade85
464;Nome463;37;Cidade31
465;Nome464;31;Cidade69
466;Nome465;67;Cidade71
467;Nome466;38;Cidade23
468;Nome467;42;Cidade9
469;Nome468;27;Cidade38
470;Nome469;51;Cidade14
471;Nome470;55;Cidade70
472;Nome471;52;Cidade49
473;Nome472;49;Cidade78
474;Nome473;62;Cidade60
475;Nome474;67;Cidade16
476;Nome475;61;Cidade3
477;Nome476;32;Cidade81
478;Nome477;62;Cidade46
479;Nome478;47;Cidade13
480;Nome479;34;Cidade94
481;Nome480;65;Cidade64
482;Nome481;39;Cidade81
483;Nome482;24;Cidade29
484;Nome483;36;Cidade13
485;Nome484;41;Cidade29
486;Nome485;65;Cidade37
487;Nome486;67;Cidade19
488;Nome487;19;Cidade80
489;Nome488;22;Cidade11
490;Nome489;44;Cidade92
491;Nome490;52;Cidade27
492;Nome491;34;Cidade14
493;Nome492;59;Cidade65
494;Nome493;61;Cidade94
495;Nome494;27;Cidade78
496;Nome495;22;Cidade16
497;Nome496;54;Cidade14
498;Nome497;28;Cidade11
499;Nome498;45;Cidade14
500;Nome499;52;Cidade17
501;Nome500;27;Cidade75
502;Nome501;58;Cidade7
503;Nome502;18;Cidade18
504;Nome503;67;Cidade55
505;Nome504;18;Cidade96
506;Nome505;63;Cidade19
507;Nome506;62;Cidade13
508;Nome507;54;Cidade13
509;Nome508;42;Cidade58
510;Nome509;63;Cidade63
511;Nome510;19;Cidade34
512;Nome511;29;Cidade79
513;Nome512;54;Cidade47
514;Nome513;30;Cidade51
515;Nome514;18;Cidade7
516;Nome515;61;Cidade4
517;Nome516;40;Cidade91
518;Nome517;52;Cidade80
519;Nome518;64;Cidade1
520;Nome519;68;Cidade31
521;Nome520;27;Cidade46
522;Nome521;39;Cidade60
523;Nome522;52;Cidade84
524;Nome523;38;Cidade8
525;Nome524;18;Cidade79
526;Nome525;55;Cidade66
527;Nome526;33;Cidade8
528;Nome527;29;Cidade64
529;Nome528;28;Cidade41
530;Nome529;41;Cidade26
531;Nome530;59;Cidade30
532;Nome531;60;Cidade59
533;Nome532;52;Cidade52
534;Nome533;33;Cidade19
535;Nome534;26;Cidade74
536;Nome535;24;Cidade64
537;Nome536;44;Cidade18
538;Nome537;22;Cidade22
539;Nome538;35;Cidade76
540;Nome539;43;Cidade46
541;Nome540;26;Cidade81
542;Nome541;54;Cidade60
543;Nome542;50;Cidade22
544;Nome543;68;Cidade70
545;Nome544;51;Cidade3
546;Nome545;29;Cidade76
547;Nome546;23;Cidade8
548;Nome547;58;Cidade79
549;Nome548;22;Cidade88
550;Nome549;54;Cidade84
551;Nome550;34;Cidade70
552;Nome551;52;Cidade77
553;Nome552;64;Cidade71
554;Nome553;56;Cidade5
555;Nome554;29;Cidade25
556;Nome555;38;Cidade14
557;Nome556;69;Cidade83
558;Nome557;44;Cidade43
559;Nome558;60;Cidade81
560;Nome559;25;Cidade1
561;Nome560;36;Cidade20
562;Nome561;69;Cidade77
563;Nome562;25;Cidade61
564;Nome563;57;Cidade82
565;Nome564;24;Cidade16
566;Nome565;34;Cidade34
567;Nome566;47;Cidade60
568;Nome567;21;Cidade1
569;Nome568;29;Cidade33
570;Nome569;66;Cidade74
571;Nome570;58;Cidade69
572;Nome571;69;Cidade40
573;Nome572;61;Cidade27
574;Nome573;27;Cidade66
575;Nome574;34;Cidade10
576;Nome575;67;Cidade64
577;Nome576;58;Cidade82
578;Nome577;40;Cidade62
579;Nome578;68;Cidade74
580;Nome579;36;Cidade56
581;Nome580;34;Cidade48
582;Nome581;47;Cidade38
583;Nome582;67;Cidade34
584;Nome583;68;Cidade86
585;Nome584;22;Cidade69
586;Nome585;65;Cidade26
587;Nome586;58;Cidade32
588;Nome587;62;Cidade9
589;Nome588;61;Cidade15
590;Nome589;18;Cidade44
591;Nome590;40;Cidade5
592;Nome591;20;Cidade50
593;Nome592;38;Cidade95
594;Nome593;27;Cidade33
595;Nome594;34;Cidade12
596;Nome595;64;Cidade42
597;Nome596;38;Cidade29
598;Nome597;34;Cidade13
599;Nome598;51;Cidade81
600;Nome599;20;Cidade41
601;Nome600;25;Cidade21
602;Nome601;56;Cidade96
603;Nome602;38;Cidade57
604;Nome603;31;Cidade70
605;Nome604;20;Cidade98
606;Nome605;27;Cidade77
607;Nome606;65;Cidade19
608;Nome607;60;Cidade5
609;Nome608;65;Cidade83
610;Nome609;56;Cidade17
611;Nome610;40;Cidade54
612;Nome611;45;Cidade32
613;Nome612;32;Cidade24
614;Nome613;23;Cidade96
615;Nome614;47;Cidade23
616;Nome615;54;Cidade89
617;Nome616;34;Cidade94
618;Nome617;43;Cidade20
619;Nome618;68;Cidade24
620;Nome619;59;Cidade23
621;Nome620;51;Cidade93
622;Nome621;42;Cidade54
623;Nome622;69;Cidade44
624;Nome623;33;Cidade19
625;Nome624;34;Cidade91
626;Nome625;57;Cidade55
627;Nome626;18;Cidade34
628;Nome627;55;Cidade16
629;Nome628;19;Cidade21
630;Nome629;21;Cidade27
631;Nome630;62;Cidade79
632;Nome631;34;Cidade30
633;Nome632;54;Cidade60
634;Nome633;35;Cidade50
635;Nome634;52;Cidade24
636;Nome635;21;Cidade29
637;Nome636;67;Cidade79
638;Nome637;64;Cidade89
639;Nome638;59;Cidade19
640;Nome639;30;Cidade35
641;Nome640;35;Cidade39
642;Nome641;64;Cidade55
643;Nome642;63;Cidade12
644;Nome643;38;Cidade28
645;Nome644;39;Cidade50
646;Nome645;62;Cidade67
647;Nome646;44;Cidade24
648;Nome647;31;Cidade6
649;Nome648;28;Cidade30
650;Nome649;42;Cidade54
651;Nome650;45;Cidade79
652;Nome651;62;Cidade73
653;Nome652;32;Cidade29
654;Nome653;57;Cidade20
655;Nome654;25;Cidade38
656;Nome655;25;Cidade98
657;Nome656;33;Cidade13
658;Nome657;38;Cidade84
659;Nome658;21;Cidade74
660;Nome659;30;Cidade36
661;Nome660;39;Cidade98
662;Nome661;28;Cidade15
663;Nome662;59;Cidade27
664;Nome663;32;Cidade52
665;Nome664;53;Cidade51
666;Nome665;47;Cidade59
667;Nome666;49;Cidade84
668;Nome667;61;Cidade12
669;Nome668;56;Cidade80
670;Nome669;59;Cidade25
671;Nome670;63;Cidade50
672;Nome671;60;Cidade12
673;Nome672;38;Cidade35
674;Nome673;57;Cidade40
675;Nome674;54;Cidade13
676;Nome675;27;Cidade58
677;Nome676;52;Cidade34
678;Nome677;55;Cidade59
679;Nome678;20;Cidade97
680;Nome679;22;Cidade89
